date,flag,relays
2019-12-02,HSDir,3855
2019-12-03,HSDir,3860
2019-12-04,HSDir,3742
2019-12-05,HSDir,3689
2019-12-06,HSDir,3700
2019-12-07,HSDir,3747
2019-12-08,HSDir,3784
2019-12-09,HSDir,3812
2019-12-10,HSDir,3778
2019-12-11,HSDir,3744
2019-12-12,HSDir,3723
2019-12-13,HSDir,3735
2019-12-14,HSDir,3790
2019-12-15,HSDir,3821
2019-12-16,HSDir,3855
2019-12-17,HSDir,3837
2019-12-18,HSDir,3787
2019-12-19,HSDir,3704
2019-12-20,HSDir,3564
2019-12-21,HSDir,3437
2019-12-22,HSDir,3371
2019-12-23,HSDir,3365
2019-12-24,HSDir,3554
2019-12-25,HSDir,3782
2019-12-26,HSDir,3878
2019-12-27,HSDir,3914
2019-12-28,HSDir,3917
2019-12-29,HSDir,3930
2019-12-30,HSDir,3924
2019-12-31,HSDir,3912
2020-01-01,HSDir,3891
2020-01-02,HSDir,3877
2020-01-03,HSDir,3852
2020-01-04,HSDir,3864
2020-01-05,HSDir,3907
2020-01-06,HSDir,3911
2020-01-07,HSDir,3865
2020-01-08,HSDir,3849
2020-01-09,HSDir,3867
2020-01-10,HSDir,3827
2020-01-11,HSDir,3770
2020-01-12,HSDir,3751
2020-01-13,HSDir,3753
2020-01-14,HSDir,3841
2020-01-15,HSDir,3922
2020-01-16,HSDir,3859
2020-01-17,HSDir,3811
2020-01-18,HSDir,3840
2020-01-19,HSDir,3845
2020-01-20,HSDir,3858
2020-01-21,HSDir,3866
2020-01-22,HSDir,3816
2020-01-23,HSDir,3768
2020-01-24,HSDir,3786
2020-01-25,HSDir,3917
2020-01-26,HSDir,3935
2020-01-27,HSDir,3966
2020-01-28,HSDir,3954
2020-01-29,HSDir,3836
2020-01-30,HSDir,3821
2020-01-31,HSDir,3746
2020-02-01,HSDir,3703
2020-02-02,HSDir,3743
2020-02-03,HSDir,3720
2020-02-04,HSDir,3669
2020-02-05,HSDir,3427
2020-02-06,HSDir,3236
2020-02-07,HSDir,3168
2020-02-08,HSDir,3185
2020-02-09,HSDir,3434
2020-02-10,HSDir,3595
2020-02-11,HSDir,3645
2020-02-12,HSDir,3634
2020-02-13,HSDir,3681
2020-02-14,HSDir,3723
2020-02-15,HSDir,3755
2020-02-16,HSDir,3835
2020-02-17,HSDir,3894
2020-02-18,HSDir,3866
2020-02-19,HSDir,3813
2020-02-20,HSDir,3793
2020-02-21,HSDir,3799
2020-02-22,HSDir,3814
2020-02-23,HSDir,3838
2020-02-24,HSDir,3895
2020-02-25,HSDir,3890
2020-02-26,HSDir,3851
2020-02-27,HSDir,3878
2020-02-28,HSDir,3976